FlightDate,Airline,Origin,Dest,CRSDepTime,Distance,Year,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DCD
2020-11-21,Southwest Airlines Co.,MCI,TPA,1450,1048.0,2020,11,21,6,WN,WN,19393,WN,767,WN,19393,WN,N8550Q,767,13198,1319801,33198,"Kansas City, MO",MO,29,Missouri,64,15304,1530402,33195,"Tampa, FL",FL,12,Florida,33,False
2021-01-14,Delta Air Lines Inc.,ATL,PHX,1959,1587.0,2021,1,14,4,DL,DL,19790,DL,664,DL,19790,DL,N6706Q,664,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,False
2021-11-05,"GoJet Airlines, LLC d/b/a United Express",DCA,EWR,1830,199.0,2021,11,5,5,UA,UA_CODESHARE,19977,UA,4387,G7,20500,G7,N501GJ,4387,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,11618,1161802,31703,"Newark, NJ",NJ,34,New Jersey,21,False
2019-07-09,Republic Airlines,DCA,ORD,1545,612.0,2019,7,9,2,UA,UA_CODESHARE,19977,UA,3475,YX,20452,YX,N649RW,3475,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,False
2021-08-17,Capital Cargo International,CLE,ORD,1235,315.0,2021,8,17,2,AA,AA_CODESHARE,19805,AA,6215,PT,20427,PT,N603KC,6215,11042,1104205,30647,"Cleveland, OH",OH,39,Ohio,44,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,False
2020-02-10,Southwest Airlines Co.,LGA,MKE,1115,738.0,2020,2,10,1,WN,WN,19393,WN,835,WN,19393,WN,N8620H,835,12953,1295304,31703,"New York, NY",NY,36,New York,22,13342,1334207,33342,"Milwaukee, WI",WI,55,Wisconsin,45,False
2021-04-24,Envoy Air,IND,DFW,1815,761.0,2021,4,24,6,AA,AA_CODESHARE,19805,AA,3722,MQ,20398,MQ,N256NN,3722,12339,1233904,32337,"Indianapolis, IN",IN,18,Indiana,42,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,False
2020-08-16,Empire Airlines Inc.,HNL,LNY,1617,72.0,2020,8,16,7,HA,HA_CODESHARE,19690,HA,674,EM,20263,EM,N806HC,674,12173,1217305,32134,"Honolulu, HI",HI,15,Hawaii,2,13034,1303402,33034,"Lanai, HI",HI,15,Hawaii,2,False
2020-01-19,Southwest Airlines Co.,BUF,MCO,1125,1011.0,2020,1,19,7,WN,WN,19393,WN,3517,WN,19393,WN,N8535S,3517,10792,1079206,30792,"Buffalo, NY",NY,36,New York,22,13204,1320402,31454,"Orlando, FL",FL,12,Florida,33,False
2021-04-06,United Air Lines Inc.,DEN,PDX,1130,991.0,2021,4,6,2,UA,UA,19977,UA,464,UA,19977,UA,N78438,464,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,14057,1405702,34057,"Portland, OR",OR,41,Oregon,92,False
